university,URL,Acronym,country,ranking_latin_america,ranking_world,Presence, Impact ,Opening ,excellence ,accessibility_errors,accessibility_alerts,accessibility_features,structural_elements,html5_aria,contrast_errors
Universidade Federal de São Paulo UNIFESP,http://www.unifesp.br/,UNIFESP,Brasil,25,799,1360,2017,746,556,23,64,31,80,7,49
Universidad de Concepción,http://www.udec.cl/,UDEC,Chile,26,809,1355,991,813,955,22,30,15,25,5,19
Universidad Nacional de Córdoba,http://www.unc.edu.ar/,UNC,Argentina,27,820,457,873,1099,1080,67,27,29,102,137,22
Pontificia Universidade Católica do Rio de Janeiro PUC-RIO,http://www.puc-rio.br/,PUC-RIO,Brasil,28,830,704,827,1035,1130,99,47,49,5,2,6
Universidad de Antioquia,http://www.udea.edu.co/,UDEA,Colombia,29,862,618,1011,1218,1069,27,21,111,45,333,33
Universidade Federal de São Carlos,http://www.ufscar.br/,UFSCAR,Brasil,30,872,1036,1550,690,873,22,19,19,12,15,34
Universidad de Ciencias y Humanidades,http://www.uch.edu.pe/,uch,Peru,1238,14054,3515,16309,8336,5778,257,83,45,53,19,41
Faculdade Padre Dourado FACPED,http://facped.com.br/,facped,Brazil,3203,24015,16860,24666,8635,5778,252,65,40,94,338,53
Universidad de San Carlos de Guatemala,http://www.usac.edu.gt/,usac,Guatemala,231,3064,794,3865,4371,3860,242,72,3,2,0,0
Pontificia Universidade Católica do Campinas PUC-CAMPINAS,http://www.puc-campinas.edu.br/,puc-campinas,Brazil,192,2751,1789,4084,2111,3459,147,400,135,81,37,246
Universidad del Istmo Panamá,http://www.udelistmo.edu/,udelistmo,Panama,2146,19583,6822,21552,8635,5778,135,87,32,256,68,35
Centro Universitário Adventista de São Paulo Campus São Paulo UNASP-SP,http://www.unasp-sp.edu.br/,unasp-sp,Brazil,1646,17118,8113,18275,8635,5778,127,117,156,47,24,372
Faculdade Cenecista de Sete Lagoas,http://fcsl.cnec.br/,fcsl,Brazil,3491,25226,21660,25407,8635,5778,120,10,24,63,83,31
Universidad Nacional Autónoma de Nicaragua Managua,http://www.unan.edu.ni/,unan,Nicaragua,341,3885,926,1290,7345,5778,116,293,76,102,19,38
Escuela Superior Politécnica Agropecuaria de Manabí,http://espam.edu.ec/,espam,Ecuador,1346,14981,4765,16132,8635,5778,109,137,15,74,24,61
Campus Universitario Siglo XXI,http://www.cusxxi.edu.mx/,cusxxi,Mexico,2628,21666,19081,21745,8635,5778,93,46,4,30,1,15
Universidad ICEL,http://www.icel.edu.mx/,icel,Mexico,577,6133,8742,2773,8635,5778,91,64,55,54,299,89
Universidade Comunitaria da Região de Chapecó UNOCHAPECÓ,http://www.unochapeco.edu.br/,unochapeco,Brazil,386,4179,2044,8911,4435,4142,91,28,2,70,7,24
Universidad de las Fuerzas Armadas ESPE,http://www.espe.edu.ec/,espe,Ecuador,440,4667,922,6054,2674,5778,85,97,7,53,11,43
Centro Universitário UNA,http://www.una.br/,una,Brazil,521,5464,9219,9614,4922,4673,84,69,30,133,23,38
Unidade de Ensino Superior do Sul do Maranhão UNISULMA,http://www.unisulma.edu.br/,unisulma,Brazil,2255,20110,16421,20400,8635,5778,84,10,17,31,68,20
Universidad Piloto de Colombia,http://www.unipiloto.edu.co/,unipiloto,Colombia,767,8652,9426,9924,6786,5778,83,69,49,71,4,46
Centro Universitario Barriga Verde UNIBAVE,http://www.unibave.net/,unibave,Brazil,1326,14705,11741,17285,7310,5778,83,26,19,54,12,117
Faculdade Aldeia de Carapicuiba FALC,http://www.falc.edu.br/,falc,Brazil,2933,22922,20224,23057,8635,5778,83,16,10,16,18,37
Fundación Universitaria del Espinal,http://www.fundes.edu.co/,fundes,Colombia,2545,21306,20691,21013,8635,5778,82,30,7,53,41,31
Universidad Católica de Oriente,http://www.uco.edu.co/,uco,Colombia,698,7590,8584,8592,6526,5778,79,65,10,74,22,53
Universidad Católica del Maule,http://www.ucm.cl/,ucm,Chile,282,3458,3110,7769,3524,3381,78,73,49,56,194,9
Fundación de Educación Superior San José,http://www.usanjose.edu.co/,usanjose,Colombia,2491,21102,19853,20909,8635,5778,77,77,8,57,160,70
Faculdade de Ensino Superior Santa Bárbara FAESB,http://www.faesb.edu.br/,faesb,Brazil,3280,24357,17426,24932,8635,5778,77,46,5,19,0,10
Universidade de Franca,http://www.unifran.br/,unifran,Brazil,350,3925,9649,10969,1733,3339,72,41,1,34,0,26
Universidad Autónoma Latinoamericana,http://www.unaula.edu.co/,unaula,Colombia,845,9751,7789,11778,6761,5778,69,69,17,119,0,3
Escuela Agrícola Panamericana Zamorano,http://www.zamorano.edu/,zamorano,Honduras,429,4586,3311,8902,3270,4673,62,101,52,63,169,11
